CatNum,CatPlate,Year,Month,Day,TDofGreatestEclipse,DTs,LunaNum,SarosNum,EclType,QLE,Gamma,EclMag,Lat,Long,SunAlt,SunAzm,PathWidthkm,CentralLineDur,GregorianDate,DeltaT,DeltaT2
71,4,-1970,Nov,16,2:41:09,45725,-49092,11,T,n-,0.1785,1.0442,4.4S,29.3W,80,193,150,04m10s,-1970-10-30T02:41:09,0,0.0
150,8,-1937,Aug,14,17:09:41,44937,-48687,14,T,n-,-0.0934,1.0574,14.8N,108.7E,85,19,190,05m05s,-1937-07-28T17:09:41,11959 days 14:28:32,11959.603148148148
228,12,-1904,May,12,16:35:44,44157,-48282,17,T,p-,0.4441,1.0613,36.6N,99.2E,63,148,223,04m39s,-1904-04-25T16:35:44,11959 days 23:26:03,11959.976423611111
309,16,-1871,Feb,8,16:17:25,43383,-47877,20,T,p-,-0.7858,1.021,70.3S,141.1E,38,336,117,01m24s,-1871-01-23T16:17:25,11959 days 23:41:41,11959.987280092593
393,20,-1839,Nov,7,7:32:22,42616,-47472,23,A,p-,0.6895,0.9917,30.5N,105.4W,46,197,40,00m48s,-1839-10-22T07:32:22,11959 days 15:14:57,11959.635381944445
476,24,-1806,Aug,6,0:18:42,41856,-47067,26,A,p-,-0.6514,0.9971,17.9S,21.3W,49,16,13,00m18s,-1806-07-21T00:18:42,11959 days 16:46:20,11959.698842592592
560,28,-1773,May,5,2:55:56,41103,-46662,29,P,t-,1.0674,0.8642,61.0N,163.7W,0,68,,,-1773-04-20T02:55:56,11960 days 02:37:14,11960.109189814815
641,33,-1740,Jan,2,13:59:35,40359,-46258,-6,P,-t,1.466,0.1558,65.3N,155.7E,0,194,,,-1741-12-18T13:59:35,11930 days 11:03:39,11930.460868055556
642,33,-1740,Feb,1,4:46:24,40357,-46257,32,P,t-,-1.4026,0.2717,68.1S,85.2E,0,195,,,-1740-01-17T04:46:24,29 days 14:46:49,29.615844907407407
