CatNum,CatPlate,Year,Month,Day,TDofGreatestEclipse,DTs,LunaNum,SarosNum,EclType,QLE,Gamma,EclMag,Lat,Long,SunAlt,SunAzm,PathWidthkm,CentralLineDur,GregorianDate,DeltaT,DeltaT2
64,4,-1973,Jul,24,1:18:22,45805,-49133,14,T,n-,-0.1865,1.0601,12.9N,11.3W,79,10,201,05m38s,-1973-07-07T01:18:22,0,0.0
141,8,-1940,Apr,21,2:04:36,45017,-48728,17,T,p-,0.5983,1.0524,36.8N,44.7W,53,143,213,03m56s,-1940-04-04T02:04:36,11960 days 00:46:14,11960.032106481482
220,11,-1907,Jan,18,0:08:49,44236,-48323,20,H,p-,-0.8487,1.0071,81.7S,4.7E,32,1,47,00m27s,-1907-01-01T00:08:49,11959 days 22:04:13,11959.919594907407
300,15,-1875,Oct,16,14:21:40,43461,-47918,23,A,p-,0.6941,0.9877,38.6N,160.3E,46,203,60,01m07s,-1875-09-30T14:21:40,11959 days 14:12:51,11959.592256944445
385,20,-1842,Jul,15,9:30:31,42694,-47513,26,A,p-,-0.7668,0.9941,26.0S,152.4W,40,8,32,00m38s,-1842-06-29T09:30:31,11959 days 19:08:51,11959.7978125
467,24,-1809,Mar,15,1:59:09,41935,-47109,-9,P,-t,-1.4765,0.1261,61.0S,74.9E,0,252,,,-1809-02-27T01:59:09,11930 days 16:28:38,11930.686550925926
468,24,-1809,Apr,13,13:24:19,41933,-47108,29,P,t-,1.232,0.5684,60.5N,60.1E,0,85,,,-1809-03-28T13:24:19,29 days 11:25:10,29.475810185185185
551,28,-1777,Dec,11,21:26:59,41181,-46704,-6,P,-t,1.4583,0.1729,63.4N,66.9E,0,215,,,-1777-11-26T21:26:59,11930 days 08:02:40,11930.335185185186
